name,d,p,drate,state,gender,age
Alzheimers,0.0,285612.0,0.0,Arkansas,female,0_14
Anaemia,0.0,285612.0,0.0,Arkansas,female,0_14
Appendicitis,0.0,285612.0,0.0,Arkansas,female,0_14
Asthma,0.0,285612.0,0.0,Arkansas,female,0_14
Bladder Cancer,0.0,285612.0,0.0,Arkansas,female,0_14
Breast Cancer,0.0,285612.0,0.0,Arkansas,female,0_14
Cervical Cancer,0.0,285612.0,0.0,Arkansas,female,0_14
Colon-Rectum Cancers,0.0,285612.0,0.0,Arkansas,female,0_14
Congenital Anomalies,34.0,285612.0,0.000119042617256978,Arkansas,female,0_14
Coronary Heart Disease,0.0,285612.0,0.0,Arkansas,female,0_14
Diabetes Mellitus,0.0,285612.0,0.0,Arkansas,female,0_14
Diarrhoeal diseases,0.0,285612.0,0.0,Arkansas,female,0_14
Diphtheria,0.0,285612.0,0.0,Arkansas,female,0_14
Endocrine Disorders,0.0,285612.0,0.0,Arkansas,female,0_14
Falls,0.0,285612.0,0.0,Arkansas,female,0_14
Hepatitis C,0.0,285612.0,0.0,Arkansas,female,0_14
Homicide,0.0,285612.0,0.0,Arkansas,female,0_14
Hypertension,0.0,285612.0,0.0,Arkansas,female,0_14
Inflammatory/Heart,0.0,285612.0,0.0,Arkansas,female,0_14
Influenza & Pneumonia,0.0,285612.0,0.0,Arkansas,female,0_14
Kidney Disease,0.0,285612.0,0.0,Arkansas,female,0_14
Leukemia,0.0,285612.0,0.0,Arkansas,female,0_14
Liver Cancer,0.0,285612.0,0.0,Arkansas,female,0_14
Liver Disease,0.0,285612.0,0.0,Arkansas,female,0_14
Low Birth Weight,25.0,285612.0,8.753133621836618e-05,Arkansas,female,0_14
Lung Cancers,0.0,285612.0,0.0,Arkansas,female,0_14
Lung Disease,0.0,285612.0,0.0,Arkansas,female,0_14
Lymphomas,0.0,285612.0,0.0,Arkansas,female,0_14
Malnutrition,0.0,285612.0,0.0,Arkansas,female,0_14
Oral Cancer,0.0,285612.0,0.0,Arkansas,female,0_14
Oral conditions,0.0,285612.0,0.0,Arkansas,female,0_14
Osteoarthritis,0.0,285612.0,0.0,Arkansas,female,0_14
Other Injuries,12.0,285612.0,4.2015041384815764e-05,Arkansas,female,0_14
Other Neoplasms,0.0,285612.0,0.0,Arkansas,female,0_14
Ovary Cancer,0.0,285612.0,0.0,Arkansas,female,0_14
Pancreas Cancer,0.0,285612.0,0.0,Arkansas,female,0_14
Parkinson's Disease,0.0,285612.0,0.0,Arkansas,female,0_14
Peptic Ulcer Disease,0.0,285612.0,0.0,Arkansas,female,0_14
Pertussis,0.0,285612.0,0.0,Arkansas,female,0_14
Poisonings,0.0,285612.0,0.0,Arkansas,female,0_14
Prostatic Hypertrophy,0.0,285612.0,0.0,Arkansas,female,0_14
Rheumatic/Heart,0.0,285612.0,0.0,Arkansas,female,0_14
Rheumatoid Arthritis,0.0,285612.0,0.0,Arkansas,female,0_14
Road Traffic Accidents,0.0,285612.0,0.0,Arkansas,female,0_14
Skin Cancers,0.0,285612.0,0.0,Arkansas,female,0_14
Skin Disease,0.0,285612.0,0.0,Arkansas,female,0_14
Stomach Cancer,0.0,285612.0,0.0,Arkansas,female,0_14
Stroke,0.0,285612.0,0.0,Arkansas,female,0_14
Suicide,0.0,285612.0,0.0,Arkansas,female,0_14
Uterin Cancer,0.0,285612.0,0.0,Arkansas,female,0_14
Alcohol,0.0,300124.0,0.0,Arkansas,male,0_14
Alzheimers,0.0,300124.0,0.0,Arkansas,male,0_14
Appendicitis,0.0,300124.0,0.0,Arkansas,male,0_14
Asthma,0.0,300124.0,0.0,Arkansas,male,0_14
Bladder Cancer,0.0,300124.0,0.0,Arkansas,male,0_14
Colon-Rectum Cancers,0.0,300124.0,0.0,Arkansas,male,0_14
Congenital Anomalies,36.0,300124.0,0.00011995042049286296,Arkansas,male,0_14
Coronary Heart Disease,0.0,300124.0,0.0,Arkansas,male,0_14
Diabetes Mellitus,0.0,300124.0,0.0,Arkansas,male,0_14
Diarrhoeal diseases,0.0,300124.0,0.0,Arkansas,male,0_14
Diphtheria,0.0,300124.0,0.0,Arkansas,male,0_14
Drownings,0.0,300124.0,0.0,Arkansas,male,0_14
Endocrine Disorders,0.0,300124.0,0.0,Arkansas,male,0_14
Falls,0.0,300124.0,0.0,Arkansas,male,0_14
HIV/AIDS,0.0,300124.0,0.0,Arkansas,male,0_14
Hepatitis C,0.0,300124.0,0.0,Arkansas,male,0_14
Homicide,0.0,300124.0,0.0,Arkansas,male,0_14
Hypertension,0.0,300124.0,0.0,Arkansas,male,0_14
